feature,importance
residual_load_forecast_mw,0.42568540573120117
renewable_forecast_mw,0.18725048005580902
solar_forecast_mw,0.058705758303403854
price_lag_24,0.05515788123011589
is_weekend,0.04464980214834213
month_sin,0.03215927258133888
month_cos,0.027551377192139626
price_lag_168,0.02488061785697937
load_forecast_mw,0.021990548819303513
hour_sin,0.021738115698099136
wind_total_forecast_mw,0.021587826311588287
price_roll_7d,0.017763713374733925
dow_sin,0.016409816220402718
wind_offshore_forecast_mw,0.012152262032032013
hour_cos,0.011863739229738712
wind_onshore_forecast_mw,0.011563444510102272
dow_cos,0.008889959193766117
